"eng","tr","telaffuz","Derece","Tek"
"Plaster","Alçı, sıva, sıvamak","Pılestır","zor","0"
"Lull","Uyuşmak","Lal","genel","0"
"Tassel","Püskül","Tesıl","zor","0"
"Depurate","Arıtmak, arınmak","Depüreyt","zor","0"
"Warp","Çarpıklık, eğrilik, çarpıtmak, doğru yoldan sapmak, saptırmak","Vorp","zor","0"
"Cloud","Sıkıntı veren şey","","genel","0"
"Lining","Astar","","genel","0"
"Every cloud has silver lining","Her şerde bir hayır vardır","","deyim","0"
"Feature film","Uzun metrajlı film","","genel","0"
"District","Bölge, semt, ilçe","","genel","0"
"Distinct","Belirgin, bariz","","genel","0"
"Distinction","Ayrım","","genel","0"
"Dribble","Damlamak, damlatmak","","genel","0"
"Drip","Damlamak, damlatmak","","genel","0"
"Stir","Karıştırmak","Sıtör","genel","0"
"Steer","Yönlendirmek","Sıtir","genel","0"
"Recline","Yaslanmak","","genel","0"
"Incline","Bayır, eğilmek, meyletmek","","genel","0"
"Slope","Yokuş","","genel","0"
"Shovel","Kürek","","genel","0"
"Bucket","Kova","","genel","0"
"Remorse","Pişmanlık, vicdan azabı","Rımors","genel","0"
"Series","Seri, dizi","Siriz","genel","0"
"Creep - crept - crept","Sürünmek","","genel","0"
"Oblique","Eğik","Oblig","genel","0"
"Prolong","Uzatmak","Pırılong","genel","0"
"Hostile","Düşmanca, düşman","Hastıl","zor","0"
"Hospitable","Konuksever","Haspitıbıl","genel","0"
"Stance","Duruş","Sıtens","genel","0"
"Lavish","Savurgan, müsrif, hesapsızca harcamak","","genel","0"
"Wasteful","Savurgan","","genel","0"
"Mosquito","Sivrisinek","Mısgito","genel","0"
"Hay","Saman","Hey","genel","0"
"Pistol","Tabanca","Pistıl","genel","0"
"Witch","Cadı, büyücü","","genel","0"
"Magician","Sihirbaz","Mıcışın","genel","0"
"Wizard","Sihirbaz, dahi","","genel","0"
"Sorcerer","Büyücü","Sorsırır","genel","0"
"Sly","Sinsi","","genel","0"
"Sneaky","Sinsi","Siniki","genel","0"
"Insidious","Sinsi","İnsidiyıs","genel","0"
"Acne","Sivilce","Ekni","genel","0"
"Pimple","Sivilce","","genel","0"
"Lamp","Lamba","","genel","0"
"Lamb","Kuzu","Lem","genel","0"
"Lambs","Kuzular","Lems","genel","0"
"Limb","Uzuv","Lim","genel","0"
"Limbs","Uzuvlar","Lims","genel","0"
"Limp","Topallamak","","genel","0"
"Hobble","Topallamak","Habıl","genel","0"
"Commence","Başlamak, başlatmak","Kımens","genel","0"
"Snake","Yılan","Sıneyk","genel","0"
"Ward","Koğuş, vesayet","Vord","genel","0"
"Cafe","Kafe","Kafey","genel","0"
"Motor","Motor","Motır","genel","0"
"Parachute","Paraşüt","Perışut","genel","0"
"Coffee","Kahve","Kafi","genel","0"
"Tedious","Sıkıcı","Tidiyıs","genel","0"
"Dispense with","Vazgeçmek, ekarte etmek","","genel","0"
"Dispensable","Vazgeçilebilir","","genel","0"
"Break into","Zorla girmek","","genel","0"
"Fiery","Ateşli","Fayıri","genel","0"
"Publicity","Tanıtım","Publısiti","genel","0"
"Ingress","Giriş","İngıres","genel","0"
"Paw","Pati, pençe","Pou","genel","0"
"Salient","Göze çarpan","Seyliyınt","genel","0"
"Subtle","Hemen göze çarpmayan","Satıl","genel","0"
"Draw on","Yararlanmak, istifade etmek","","deyim","0"
"Keep off","Uzak tutmak, yaklaştırmamak","","deyim","0"
"Deteriorate","Kötüleşmek, fenalaşmak","Ditiriıreyt","genel","0"
"Rodent","Kemirgen","Rodent","genel","0"
"Domestic","Evcil, iç, yerli","Dımestik","genel","0"
"Cater","İhtiyacı karşılamak, temin etmek","Keytır","genel","0"
"In a way","Belirli bir ölçüde, bir bakıma","","deyim","0"
"Flea","Pire","Fıli","genel","0"
"Dissent","Düşünce ayrılığı, ihtilaf","","genel","0"
"Loss","Kayıp","Las","genel","0"
"Grumble","Söylenmek, homurdanmak","","genel","0"
"Deviant","Sapkın","Diviyınt","genel","0"
"Superficial","Yüzeysel, üstünkörü","Süpırfişıl","genel","0"
"Extinguish","Ortadan kaldırmak,söndürmek","İkstinguiş","genel","0"
"Assess","Değer biçmek","Ises","genel","0"
"Assessment","Değerlendirme","Isesmınt","genel","0"
"Conceal","Gizlemek","","genel","0"
"Catering","Yemek hizmeti","","genel","0"
"Asset","Varlık, mülk","Aset","genel","0"
"Dispute","Tartışma, ihtilaf","","genel","0"
"Dialect","Ağız, lehçe","","genel","0"
"Celestial","Gökyüzü ile ilgili, gök, göksel","Sılescıl","genel","0"
"Terrestrial","Karasal, yeryüzüne ait","Tırrestıriyıl","genel","0"
"Vigorous","Dinç, dinamik","Vigırıs","genel","0"
"Offender","Suçlu, fail","Ifendır","genel","0"
"Sack","Çuval, torba, çuvala koymak","","genel","0"
"Exhibit","Sergilemek","İgzibit","genel","0"
"Scrape","Sıyrık, kazıyarak temizlemek","Sıkreyp","genel","0"
"Graze","Sıyrık, otlamak, otlatmak","","genel","0"
"Pastry","Hamur işi, pasta","Peystıri","genel","0"
"Bazaar","Pazar","Bızar","genel","0"
"Hoax","Hile, aldatmaca, şaka, oyun","Hoks","genel","0"
"Unthankful","Nankör","","genel","0"
"Dressing","Sos","","genel","0"
"Sauce","Sos","Sas","genel","0"
"Rack","Raf, askı","Rek","genel","0"
"Mouthful","Lokma, ağız dolusu","","genel","0"
"Kneel","Diz çözmek","Niıl","genel","0"
"Nail polish","Oje","","genel","0"
"Cab","Taksi","Keb","genel","0"
"Wax","Ağda, mum, bal mumu","Veks","genel","0"
"Wane","Küçülmek, solmak, küçülme","Veyn","genel","0"
"Graft","Nakletmek (organ vs.), aşılamak (bitkiyi)","Gıreft","genel","0"
"Crook","Sahtekar, bükmek, kıvırmak","","genel","0"
"Crooked","Eğri büğrü, çarpık çurpuk","","genel","0"
"Reconcile","Uzlaştırmak, barıştırmak","Rekınsayıl","zor","0"
"Prodigal","Savurgan, müsrif","Pıradigıl","zor","0"
"Sinister","Uğursuz","","genel","0"
"Cellar","Kiler","Selır","genel","0"
"Cop","Polis","Kap","genel","0"
"Storey","Kat (binada, apartmanda)","Sıtori","genel","0"
"Sole","Ayak tabanı, taban, yegane, tek","Sol","genel","0"
"Wretched","Sefil, zavallı, acınası durumda","Reçid","genel","0"
"Tray","Tepsi","Tırey","genel","0"
"Rug","Kilim, halı","Rag","genel","0"
"Tuxedo","Smokin","Taksido","genel","0"
"Crude","Ham, çiğ","","genel","0"
"Cuisine","Mutfak, aşçılık, yemek pişirme sanatı","Kuzin","genel","0"
"Haste","Acele, telaş","Heyst","genel","0"
"Hasty","Aceleci","Heysti","genel","0"
"Drill","Matkap, delme","","genel","0"
"Boot","Bot, çizme, bagaj","Buut","zor","0"
"Weasel","Gelincik","Vizıl","zor","0"
"Ball","Balo, bilye, top","","genel","0"
"Prom","Balo","Pıram","genel","0"
"Invade","İstila etmek","İnveyd","genel","0"
"Plunder","Yağmalamak, yağma","","genel","0"
"Pillage","Yağma, yağmalamak","Pilıç","genel","0"
"Diligent","Gayretli","","genel","0"
"Convict","Hükümlü, mahkum, suçlu bulmak","Kınvikt","genel","0"
"Conviction","Kanaat, inanç, görüş, fikir","Kınvikşın","genel","0"
"Bad luck","Uğursuzluk","","genel","0"
"Fig","İncir","","genel","0"
"Deck","Deste, güverte","","genel","0"
"Stay on alert","Tetikte beklemek","","deyim","0"
"Grandly","Görkemli bir şekilde","","genel","0"
"Unattended","Sahipsiz","Anitendıd","zor","0"
"Ravishing","Büyüleyici","","zor","0"
"Apprehend","Kavramak, anlamak, endişe etmek","Apırıhend","zor","0"
"Apprehensive","Endişeli","Apırıhensiv","zor","0"
"Rat","İspiyoncu, sıçan","","genel","0"
"Informant","Muhbir, haber kaynağı","","genel","0"
"Revile","Hakaret etmek, sövmek, küfretmek","Rivayıl","genel","0"
"Callow","Acemi, toy, tecrübesiz","Kelov","genel","0"
"Vile","Değersiz, alçak, aşağılık, kepaze","Vayıl","genel","0"
"Violet","Menekşe, mor","Vaylıt","genel","0"
"Violin","Keman","Vaylin","genel","0"
"Violinist","Kemancı","Vaylinist","genel","0"
"Accordingly","Ona göre","","genel","0"
"Drop","Damla","","genel","0"
"Droplet","Damlacık","","genel","0"
"Evoke","Çağrıştırmak, hatırlatmak, anımsatmak","","genel","0"
"Evocative","Anımsatıcı, çağrıştırıcı","İvakıtiv","genel","0"
"Lash","Hicvetmek, ayıplamak, kırbaçlamak (diliyle), acı söz, azarlama, sert eleştiri","","genel","0"
"Count on","Bel bağlamak, güvenmek","","deyim","0"
"Make up with","Barışmak, gönlünü almak","","deyim","0"
"Imminent","Eli kulağında","","genel","0"
"Stride","Uzun adım, uzun adımlarla yürümek","","genel","0"
"Grater","Rende","","genel","0"
"Curb","Zaptetmek","","genel","0"
"Rummage","Didik didik aramak","","genel","0"
"Slay","Katletmek, vahşice öldürmek","","genel","0"
"Gloss","Parıltı, parlaklık","Gılas","genel","0"
"Drowse","Pineklemek, uyuklamak","Dıraus","genel","0"
"Drown","Suda boğulmak","","genel","0"
"Roam","Aylak aylak dolaşmak","","genel","0"
"Roar","Kükremek","","genel","0"
"Mice","Fareler","","genel","0"
"Slide - slid - slid","Kaydırmak, kaymak, slayt","","genel","0"
"Agony","Izdırap","","genel","0"
"Attic","Çatı katı","Etik","genel","0"
"Greed","Aç gözlülük","","genel","0"
"Greedy","Aç gözlü","","genel","0"
"Shrewd","Kurnaz, açık göz","","genel","0"
"Cunning","Kurnazlık, kurnaz","","genel","0"
"Occasion","Fırsat, vesile","","genel","0"
"Occasinally","Ara sıra","","genel","0"
"Cuddle","Kucaklamak","","genel","0"
"Caress","Okşamak","","genel","0"
"Grip","Kavramak, pençe","","genel","0"
"Grab","Kapmak, yakalamak","","genel","0"
"Grasp","Sıkı sıkı tutmak, kavramak","","genel","0"
"Ratify","Onaylamak","","genel","0"
"Play down","Önemsememek, hafifsemek","","deyim","0"
"Annul","Feshetmek","Enal","genel","0"
"Allot","Tahsis etmek, paylaştırmak","","genel","0"
"Discharge","Tahliye etmek, taburcu etmek, tahliye, boşaltım","","genel","0"
"Liquidate","Tasfiye etmek","","genel","0"
"Formidable","Korkunç, zorlu, müşkül, dişli","","genel","0"
"Relish","Beğenmek, hoşuna gitmek","Reliş","genel","0"
"Elate","Sevindirmek","İleyt","genel","0"
"Elated","Mutlu, bahtiyar","İleytıd","genel","0"
"Undertake","Üstlenmek, yüklenmek","","genel","0"
"Take over","Devralmak","","genel","0"
"Overtake","Sollamak","","genel","0"
"Overpass","Üst geçit","","genel","0"
"Pass over","Aşmak","","genel","0"
"Hand over","Teslim etmek","","deyim","0"
"Ram","Koç","Rem","genel","0"
"Shackle","Köstek, engel","Şekıl","genel","0"
"Thyself","Kendini","Thayself","genel","0"
"Row","Sıra, kürek çekmek","","genel","0"
"Rowing","Kürek çekme","","genel","0"
"Rundown","Harabe, yıkık, harap","","genel","0"
"Inn","Han","İn","genel","0"
"Delicacy","İncelik, kibarlık, narinlik, nezaket","","genel","0"
"Delicate","Narin, hassas, kolay kırılabilen","","genel","0"
"Prank","Kötü şaka, eşek şakası","","genel","0"
"Swap","Değiş tokuş","Suvap","genel","0"
"Rarity","Seyreklik","","genel","0"
"Crumb","Kırıntı","Kıram","genel","0"
"Lure","Cezbetmek, ayartmak, yem, tuzak","","genel","0"
"Cavity","Oyuk, kovuk, boşluk","","genel","0"
"Twinge","Sancı, sancılanmak","","genel","0"
"Tingle","Sızlamak, sızı","","genel","0"
"Tickle","Gıdıklamak","","genel","0"
"Clamor","Yaygara, feryat","","genel","0"
"Radish","Turp","","genel","0"
"Spawn","Yumurtlamak","Sıpoun","genel","0"
"Ovulate","Yumurtlamak","Ovüleyt","genel","0"
"Beetle","Böcek","Bitıl","genel","0"
"Elusive","Anlaşılması zor, akla gelmeyen, bulunması zor","","genel","0"
"Moustache","Bıyık","Mıstaş","genel","0"
"Spell","Büyü","","genel","0"
"In a row","Ardı ardına, peş peşe","","deyim","0"
"Crush","Ezmek","","genel","0"
"Smash","Ezmek, paramparça etmek","","genel","0"
"Smush","Ezmek","","genel","0"
"Crash","Çarpmak","","genel","0"
"Pun","Kelime oyunu yapmak, cinas yapmak, sözcük oyunu, cinas","Pan","genel","0"
"Unkempt","Paçoz, bakımsız, hırpani, dağınık","","genel","0"
"Lush","Lezzetli, sulu, gösterişli, çekici","","genel","0"
"Favour","İyilik etmek, kayırmak, iyilik, lütuf","Feyvır","genel","0"
"Contiguous","Bitişik, yakın, komşu","Kıntiguıs","genel","0"
"Adjacent","Bitişik, komşu","Eceysınt","genel","0"
"Adjoin","Bitiştirmek, yan yana koymak, eklemek","Ecoin","genel","0"
"Adjoining","Bitişik, yandaki","","genel","0"
"Pest","Zararlı böcek","","genel","0"
"Favoured","Ayrıcalıklı, kayırılmış, iltimaslı","Feyvırd","genel","0"
"Vicious","Fasit, tehlikeli, kötü niyetli, habis","","genel","0"
"Vicious circle","Kısır döngü","","genel","0"
"Valentine","Sevgililer günü","Velıntayn","genel","0"
"Prevail","Galebe çalmak, üstün gelmek","","genel","0"
"Heartily","Yürekten, içten","Hartıli","genel","0"
"Tap","Musluk, tıkaç, hafifçe vurmak","","genel","0"
"Tap into","Faydalanmak, istifade etmek","","deyim","0"
"Virtuos","Erdemli, faziletli","Vörçuıs","zor","0"
"Impiety","Saygısızlık, büyüklere saygısızlık, tanrılara saygısızlık","İmpaiti","zor","0"
"Proximity","Yakınlık, akrabalık","","zor","0"
"Chorus","Koro","Korıs","zor","0"
"Sour","Ekşi","Savır","zor","0"
"Flutter","Kanat çırpmak, çırpınmak","Fıladır","genel","0"
"Flatter","Pohpohlamak, dalkavukluk etmek, yalakalık etmek","Fıledır","genel","0"
"Strait","Boğaz, zor/güç durum","Sıtreyt","genel","0"
"Vineyard","Bağ, üzüm bağı","Vinyırd","genel","0"
"Prevailing","Galip gelen, hüküm süren, egemen, geçerli olan","","genel","0"
"Hood","Kapşon, kaporta","","genel","0"
"Virtue","Erdem, fazilet","","genel","0"
"Compulsory","Zorunlu","Kımpalsıri","genel","0"
"Pond","Gölet, gölcük","Pand","genel","0"
"Shrink","Psikiyatrist","","genel","0"
"Psychiatrist","Psikiyatrist","Saykayıtırist","genel","0"
"Psychology","Psikoloji","Saykalıci","genel","0"
"Contract","Küçülmek, büzüşmek, yakalanmak (hastalığa)","","genel","0"
"At a time","Bir seferde, birden, tek seferde","","deyim","0"
"Subjected to","Bağlı olmak","","deyim","0"
"Insurrection","İsyan, başkaldırma","","zor","0"
"Revolt","İsyan, başkaldırı, ayaklanmak","","genel","0"
"Pistachio","Antep fıstığı","Pistaşio","genel","0"
"Peanut","Yer fıstığı","","genel","0"
"Hazelnut","Fındık","","genel","0"
"Walnut","Ceviz","","genel","0"
"Bribe","Rüşvet","","genel","0"
"Bribery","Rüşvet","","genel","0"
"Deed","Tapu","","genel","0"
"Reproof","Serzeniş, eleştiri, azar, ayıplama","Rıpuruf","genel","0"
"Exaggerate","Abartmak","","genel","0"
"Aperture","Açıklık","Epırçır","genel","0"
"Lemon","Limon","Lemın","genel","0"
"Video","Video","Vidio","genel","0"
"Swan","Kuğu","","genel","0"
"Gunpowder","Barut","","genel","0"
"Powder","Toz","","genel","0"
"Plate","Plaka","","genel","0"
"Licence plate","Plaka","","genel","0"
"Mend - mended - mended","Tamir etmek","","genel","0"
"Censure","Kınamak, ayıplamak","Sençır","genel","0"
"Wig","Peruk","","genel","0"
"Pension","Emeklilik, emeklilik maaşı","","genel","0"
"Despise","Küçümsemek, hor görmek, hakir görmek","","genel","0"
"Rent - rented - rented","Kiralamak","","genel","0"
"Manure","Gübre","Menüır","genel","0"
"Orphan","Yetim, öksüz","","genel","0"
"Orphanage","Yetimhane","","genel","0"
"Ruin","Kalıntı, harabe, virane","","genel","0"
"Ruins","Kalıntılar, yıkıntılar","","genel","0"
"Residual","Artık, kalıntı, artan, kalan","Rizicuıl","genel","0"
"Odd number","Tek sayı","Ad nambır","genel","0"
"Even number","Çift sayı","","genel","0"
"Even","Düz, düzgün, pürüzsüz, eşit, çift","","genel","0"
"Vase","Saksı","Veyz","genel","0"
"Wing","Kanat","","genel","0"
"Bog","Bataklık","Bag","genel","0"
"Bug","Böcek","Bag","genel","0"
"Lid","Kapak","","genel","0"
"Rebuke","Azar, azarlamak","Ribüuk","genel","0"
"Prudent","Sağ duyulu, ihtiyatlı, tedbirli","","genel","0"
"Nibble","Kemirmek","","genel","0"
"Discrete","Ayrık, belirli, farklı","","genel","0"
"Discreet","Sağ duyulu, ağzı sıkı, ketum","","genel","0"
"Reproach","Serzeniş, sitem, serzenişte bulunmak, sitem etmek","Ripırouç","genel","0"
"Whim","Heves, geçici istek","","genel","0"
"Decadent","İtibarını yitirmiş, gözden düşmüş, çökmüş","Dekıdınt","genel","0"
"Flee - fled - fled","Kaçmak","","genel","0"
"Peripheral","Çevresel, periferik","Pırifirıl","zor","0"
"Heartfelt","Gönülden, yürekten","","genel","0"
"Mount","Binmek, montaj yapmak, birleştirmek, bağlamak, yerleştirmek","Maunt","genel","0"
"Mounted","Atlı, takılı, monte edilmiş, birleştirilmiş","Mauntıd","genel","0"
"Empathise","Empati kurmak","Empıthayz","genel","0"
"Rancid","Kokuşmuş, ekşimiş, bozuk, kokmuş","Rensid","genel","0"
"Chewy","Sakız gibi","","genel","0"
"Corridor","Koridor","Koridor","genel","0"
"Swindle","Dolandırmak","Suvindıl","genel","0"
"Swindler","Dolandırıcı, üçkağıtçı","Suvindlır","genel","0"
"Rigour","Zorluk, sıkıntı, güçlük, şiddet, ürperme, özen, titizlik","","genel","0"
"Rigor","Zorluk, sıkıntı, güçlük, şiddet, ürperme, özen, titizlik","","genel","0"
"Rigorous","Titiz, özenli, ihtimamlı, dikkatli","","genel","0"
"Affiliate","Katmak, üye olarak almak, birleşmek, bağlamak, sıkı ilişki kurmak","","genel","0"
"Apology","Özür","Apalıci","genel","0"
"Heartfelt apology","Yürekten özür dileme","hartfelt apalıci","deyim","0"
"Censorship","Sansür","Sensırşip","genel","0"
"Censor","Sansür","Sensır","genel","0"
"Bass","Bas (müzikte vs.)","Beys","genel","0"
"(Sea) Bass","Levrek","Bes","genel","0"
"Flute","Flüt","Fılüt","genel","0"
"Prod","Teşvik etmek, dürtmek, özendirmek, kışkırtmak","Pırad","genel","0"
"Band","Bant, bando, şerit","Bend","genel","0"
"Keyboard","Org","","genel","0"
"Tape","Kaset, şerit, bant","","genel","0"
"Refrigerator","Buzdolabı, soğutucu","Rıfrıcıreytır","genel","0"
"A pound of","Bir kalıp (peynir vs.)","","deyim","0"
"A pound of cheese","Bir kalıp peynir","","deyim","0"
"Exist","Var olmak","İgzist","genel","0"
"Rid - rid - rid","Kurtulmak, defetmek","","genel","0"
"Fugitive","Kaçak","Füucitiv","genel","0"
"Tactful","İnce düşünceli","","genel","0"
"Glutton","Obur","Gıladın","genel","0"
"Turmeric","Zerdeçal","Törmirik","zor","0"
"Lath","Çıta","Lef","zor","0"
"Squat","Çömelmek, bodur","","genel","0"
"Squad","Takım, ekip","","genel","0"
"Pier","İskele","Piır","genel","0"
"Port","Liman","","genel","0"
"Abash","Utandırmak","Abeş","genel","0"
"Sip","Yudum, yudumlamak","","genel","0"
"Adventure","Macera","Edvençır","genel","0"
"Captain","Yüzbaşı","Keptın","genel","0"
"Squadron leader","Binbaşı","Sıkuadrın lidır","genel","0"
"Lieutenant","Teğmen","Lütenınt","zor","0"
"First lieutenant","Üsteğmen","Först lütenınt","zor","0"
"Third lieutenant","Asteğmen","Thörd Lütenınt","zor","0"
"Corporal","Onbaşı","Korpırıl","zor","0"
"Apologise","Özür dilemek","Apalıcayz","genel","0"
"Lame","Sakat, topal, sakatlamak","Leym","genel","0"
"Sane","Mantıklı, iyi düşünebilen, makul, sağlıklı, akıllıca","Seyn","genel","0"
"Procure","Elde etmek, temin etmek, edinmek, sağlamak, tedarik etmek","Pırıküur","genel","0"
"Colonel","Albay","Körnıl","genel","0"
"Lieutenant colonel","Yarbay","Lütenınt körnıl","genel","0"
"Major general","Tümgeneral","Meycır cenırıl","genel","0"
"Antibody","Antikor","Entibadi","genel","0"
"Defendant","Sanık, davalı","Difendınt","genel","0"
"County","İlçe","Keunti","genel","0"
"Admissible","Kabul edilebilir","","genel","0"
"Fabricate","Uydurmak, sahtesini yapmak","","genel","0"
"Solace","Avuntu, teselli, avutmak, teselli etmek","Solıs","genel","0"
"Scaffold","Dar ağacı, yapı iskelesi, platform, iskele","","genel","0"
"Cone","Külah, koni","Kon","genel","0"
"Pyramid","Piramit","Pirimid","genel","0"
"Hierarchy","Hiyerarşi","Hayırarki","genel","0"
"Scenario","Senaryo","Sinerio","genel","0"
"Fortune-teller","Falcı","Forçın telır","genel","0"
"Crush","Manita, ezmek, ezilme","","genel","0"
"Jelly","Jöle, pelte","Celi","genel","0"
"Grumpy","Huysuz","Gırampi","genel","0"
"Pull off","Koparmak","","genel","0"
"Gypsy - Gipsy","Çingene","Cipsi","genel","0"
"Chilly","Serin","Çili","genel","0"
"Lemonade","Limonata","Lemıneyd","genel","0"
"Pie","Turta, pasta, çörek","Pay","genel","0"
"Jellylike","Jölemsi","Celilayk","genel","0"
"Protrusion","Çıkıntı","Pırıturujın","genel","0"
"Cooker","Ocak","","genel","0"
"Meow","Miyav, miyavlama","Miav","genel","0"
"Meowing","Miyavlama","Miaving","genel","0"
"Tart","Turta, mayhoş","Tart","genel","0"
"Scrap","Hurda, ıskartaya çıkarmak","Sıkrep","genel","0"
"Squirrel","Sincap","Sıkuirıl","genel","0"
"Pertain to","-e ait olmak, -e has olmak","","genel","0"
"Shutter","Kepenk, panjur","Şadır","genel","0"
"Zealot","Bağnaz, yobaz","Zelıt","genel","0"
"Bigot","Yobaz","Bigıt","genel","0"
"Asylum","Barınak, sığınak","Esaylım","genel","0"
"Wooded","Ağaçlık","","genel","0"
"Marrow","İlik","","genel","0"
"Onset","Başlangıç","","genel","0"
"Vegetation","Bitki örtüsü","","genel","0"
"Greens","Yeşillik","","genel","0"
"Greenery","Yeşillik","","genel","0"
"Governor","Vali","","genel","0"
"Exclude","Dışlamak, hariç tutmak","İkskılud","genel","0"
"Kangaroo","Kanguru","Kengıru","genel","0"
"Poet","Şair","Poit","genel","0"
"Apron","Önlük","Eyprın","genel","0"
"Kilogram","Kilogram","Kilıgırem","genel","0"
"Knead","Yoğurmak","Niid","genel","0"
"Poetry","Şiir","","genel","0"
"Pulse","Nabız, baklagil","Pals","genel","0"
"Buffet","Büfe","Bafey - Bufey","genel","0"
"Stewardess","Hostes (Kadın)","Sıtüvırdıs","genel","0"
"Steward","Hostes (Erkek)","Sıtüvırd","genel","0"
"Fleet","Donanma","","genel","0"
"Overt","Aleni, aşikar","Ovört","genel","0"
"Jellyfish","Denizanası","Celifiş","genel","0"
"Renovate","Yenilemek, yenileştirmek","Renıveyt","genel","0"
"Japan","Japonya","Cıpen","genel","0"
"Howl","Ulumak","Haul","genel","0"
"Dreamer","Hayalperest","","genel","0"
"Snot","Sümük","Sınat","genel","0"
"Mole","Ben (tende), köstebek","Mol","genel","0"
"Liken","Benzetmek","Laykın","genel","0"
"Vex","Can sıkmak, kızdırmak","","genel","0"
"Vexed","Canı sıkkın","","genel","0"
"Chemical bond","Kimyasal bağ","Kemikıl band","genel","0"
"Sober","Ayık, sarhoş olmayan","","genel","0"
"Basket","Sepet","Beskit","genel","0"
"Hunch","Önsezi, kambur, hörgüç","Hanç","genel","0"
"Hunchback","Kambur kimse","Hançbek","genel","0"
"Scape","Duyarga, uzantı, anten","Sıkeyp","genel","0"
"Scapegoat","Günah keçisi","Sıkeypgot","genel","0"
"Bump","Tümsek, yumru, çarpışmak","","genel","0"
"Bump into","Karşılaşmak, çarpışmak","","deyim","0"
"Muslim","Müslüman","Muslim","genel","0"
"Mauseleum","Anıt mezar, anıtkabir","Mazliyım","genel","0"
"Shrine","Türbe","","genel","0"
"Tomb","Mezar, türbe","","genel","0"
"Grave","Mezar","","genel","0"
"Bottle","Şişe","Badıl","genel","0"
"Vizier","Vezir","Vizir","genel","0"
"Pouch","Kese, torba","Pauç","genel","0"
"Pot","Çanak, demlik","Pat","genel","0"
"Pottery","Çanak çömlek, çömlekcilik","Padıri","genel","0"
"Cook","Aşçı","","genel","0"
"Chef","Aşçı","Şef","genel","0"
"Chief","Şef, amir, ana, başlıca","Çif","genel","0"
"Coat","Palto, mont, kaban, kaplamak","Kot","genel","0"
"Engagement","Nişan","","genel","0"
"Babbler","Geveze","Bebılır","genel","0"
"Talky","Geveze","Tolki","genel","0"
"Talkative","Geveze","","genel","0"
"Kidnap","Kaçırmak (Adam, çocuk vs.)","","genel","0"
"Cease","Son vermek, durmak, durdurmak, dinmek","Siis","genel","0"
"Oppress","Zulmetmek, baskı yapmak","Ipıres","genel","0"
"Oppressed","Mazlum","Ipıresd","genel","0"
"Bare","Açığa vurmak, çıkarmak, açık, çıplak","Beır","genel","0"
"Barely","Zar zor, anca","Beırli","genel","0"
"Greet","Selam vermek","Gırit","genel","0"
"Greeting","Selamlaşma, selam verme","Gıriting","genel","0"
"Revelation","Vahiy, ifşa","Revıleyşın","zor","0"
"Seize","El koymak, zorla almak, kapmak","Siiz","genel","0"
"Harp","Arp","Harp","genel","0"
"Distant relative","Uzak akraba","Distınt relıtiv","genel","0"
"Enable","Olanak sağlamak, olanak vermek","İneybıl","genel","0"
"Burp","Geğirmek, geğirti","Börp","genel","0"
"Hammer","Çekiç","","genel","0"
"Weary","Yorgun, bitap","Viıri","genel","0"
"Decease","Vefat etmek","Disiis","genel","0"
"Disease","Hastalık","Diziiz","genel","0"
"Lofty","Yüce","Lafti","genel","0"
"Salvation","Kurtulma, kurtuluş, kurtarma","Salveyşın","genel","0"
"Convent","Manastır","Kanvınt","genel","0"
"Convention","Toplanma, bir araya gelme, gelenek, düzen","Kınvenşın","genel","0"
"Just","Adil","","genel","0"
"Unjust","Adaletsiz, haksız","","genel","0"
"Mainstay","Dayanak noktası","","genel","0"
"Symphony","Senfoni","Simfıni","genel","0"
"Oracle","Kehanet","Orıkıl","genel","0"
"Foresight","Öngörü","","genel","0"
"Booty","Ganimet","","genel","0"
"Spoil","Ganimet, şımartmak, mahvetmek, bozmak","","genel","0"
"Spoils","Ganimet","","genel","0"
"Spoiled","Şımarık","","genel","0"
"Fibrous","Lifli","Faybrıs","genel","0"
"Vine","Asma, üzüm asması","Vayn","genel","0"
"Takeaway","Paket, paket servis, ana düşünce, ana fikir","","genel","0"
"Pullover","Kazak","","genel","0"
"Hairy","Kıllı, tüylü","","genel","0"
"Feathered","Tüylü","Fedırd","genel","0"
"Feathery","Tüylü","Fedıri","genel","0"
"By then","O zamana kadar","","deyim","0"
"Haven","Sığınak","Heyvın","genel","0"
"Impudent","Edepsiz, saygısız, arsız","","genel","0"
"Sacrament","Ayin","Sekrımınt","genel","0"
"Rite","Ayin, dini tören","Rayt","genel","0"
"Misgiving","Kuruntu","","genel","0"
"Cement","Çimento","Sıment","genel","0"
"Shanty","Gecekondu","Şenti","genel","0"
"Abbey","Manastır","Ebi","genel","0"
"Hurricane","Kasırga","Hörikeyn","genel","0"
"Whirlwind","Kasırga","Vorlvind","genel","0"
"Cyclone","Kasırga","","genel","0"
"Rebel","Asi, isyancı, ayaklanmak, başkaldırmak","Rebıl","genel","0"
"Dinosaur","Dinozor","Daynısor","genel","0"
"Bat","Yarasa","Bet","genel","0"
"Cockroach","Hamam böceği","Kakrouç","genel","0"
"Fatter","Daha şişman","Fedır","genel","0"
"Zebra","Zebra","Zibra","genel","0"
"Pollen","Polen","Polın","genel","0"
"Cocoa","Kakao","Koko","genel","0"
"Whistle","Islık, düdük, ıslık çalmak, düdük çalmak","","genel","0"
